,time,tavg,tmin,tmax,prcp,wdir,wspd,pres
1766,2017-12-31,-11.3,-15.5,-10.5,0.0,293.0,24.8,1019.2
1767,2018-01-01,-14.7,-17.7,-10.5,0.0,294.0,26.3,1023.6
1768,2018-01-02,-12.3,-15.5,-7.1,0.0,267.0,20.5,1024.6
1769,2018-01-03,-6.2,-8.8,-1.6,0.0,226.0,15.1,1023.7
1770,2018-01-04,-3.6,-5.5,-1.0,34.3,339.0,36.4,1010.6
1771,2018-01-05,-7.8,-14.3,-4.3,0.0,269.0,40.0,997.6
1772,2018-01-06,-13.1,-17.1,-11.0,0.0,276.0,35.3,1014.6
1773,2018-01-07,-15.1,-18.8,-8.2,0.0,264.0,25.9,1029.2
1774,2018-01-08,-4.3,-8.2,1.7,0.0,224.0,27.0,1018.9
1775,2018-01-09,1.8,-0.5,6.1,0.0,258.0,22.3,1017.3
1776,2018-01-10,-0.4,-3.8,2.2,0.0,,11.9,1030.3
1777,2018-01-11,4.1,0.6,10.6,0.0,207.0,18.0,1026.9
1778,2018-01-12,9.8,3.9,15.6,15.7,188.0,23.8,1014.0
1779,2018-01-13,10.2,-7.1,16.1,31.5,252.0,32.4,1007.0
1780,2018-01-14,-7.1,-9.9,-4.9,0.0,333.0,18.7,1034.5
1781,2018-01-15,-8.9,-11.0,-6.0,0.0,345.0,22.0,1038.3
1782,2018-01-16,-4.2,-6.6,0.6,0.0,,8.3,1032.4
1783,2018-01-17,0.2,-0.5,1.1,5.3,31.0,10.4,1023.4
1784,2018-01-18,-2.1,-6.0,0.0,0.0,299.0,18.0,1014.0
1785,2018-01-19,-2.4,-4.9,1.1,0.0,,15.5,1014.0
1786,2018-01-20,2.9,-1.6,8.3,0.0,235.0,23.0,1008.4
1787,2018-01-21,5.8,1.1,9.4,0.0,,9.7,1019.2
1788,2018-01-22,2.4,1.1,3.9,1.5,,7.9,1015.9
1789,2018-01-23,3.5,0.0,12.8,32.0,349.0,14.8,1012.5
1790,2018-01-24,3.6,-4.3,5.6,0.0,276.0,23.4,1009.2
1791,2018-01-25,-3.6,-6.0,-1.0,0.0,303.0,25.9,1024.4
1792,2018-01-26,-4.0,-7.1,1.1,0.0,,18.4,1036.5
1793,2018-01-27,2.5,-3.8,11.7,0.0,201.0,26.3,1028.6
1794,2018-01-28,9.4,6.1,11.1,0.8,250.0,16.6,1022.7
1795,2018-01-29,3.6,-2.1,6.1,0.0,25.0,25.6,1023.8
1796,2018-01-30,-2.9,-6.6,-0.5,3.8,339.0,24.5,1013.7
1797,2018-01-31,-4.3,-7.7,-1.0,0.0,257.0,21.2,1019.3
1798,2018-02-01,1.5,-1.0,7.8,1.0,213.0,21.6,1013.8
1799,2018-02-02,0.2,-11.0,3.3,6.4,285.0,28.1,1011.8
1800,2018-02-03,-8.3,-12.1,-2.1,0.0,236.0,20.9,1027.0
1801,2018-02-04,0.2,-3.2,6.1,7.4,181.0,17.3,1027.4
1802,2018-02-05,4.3,-4.3,6.1,9.1,293.0,21.6,1027.9
1803,2018-02-06,-2.8,-5.5,1.1,0.0,258.0,13.3,1028.3
1804,2018-02-07,-1.2,-4.9,6.1,16.5,,11.9,1024.2
1805,2018-02-08,-1.2,-5.5,1.1,0.0,296.0,21.6,1023.5
1806,2018-02-09,-2.9,-5.5,0.0,0.0,240.0,18.4,1032.4
1807,2018-02-10,3.8,-1.0,11.1,4.1,185.0,13.7,1023.8
1808,2018-02-11,6.2,3.3,9.4,17.5,351.0,11.5,1023.4
1809,2018-02-12,5.0,0.6,8.9,0.0,,16.9,1023.0
1810,2018-02-13,-1.3,-3.8,0.6,0.0,18.0,16.2,1040.8
1811,2018-02-14,1.7,-2.1,8.3,0.0,213.0,18.0,1024.1
1812,2018-02-15,5.6,1.7,9.4,0.0,215.0,13.7,1009.8
1813,2018-02-16,9.3,1.1,12.2,0.5,265.0,17.6,1003.5
1814,2018-02-17,0.6,-2.7,1.7,4.3,58.0,18.7,1025.6
1815,2018-02-18,2.0,0.0,6.7,8.9,324.0,16.6,1022.1
1816,2018-02-19,3.3,-3.2,10.0,1.5,201.0,20.2,1031.0
1817,2018-02-20,12.9,5.6,21.1,0.3,217.0,17.3,1023.8
1818,2018-02-21,13.2,5.0,22.2,0.0,225.0,23.0,1022.8
1819,2018-02-22,7.9,0.0,12.8,2.0,,15.5,1036.4
1820,2018-02-23,1.7,-0.5,4.4,3.0,61.0,14.8,1033.7
1821,2018-02-24,7.2,2.8,12.8,0.0,293.0,16.6,1019.6
1822,2018-02-25,4.3,2.8,5.0,13.0,60.0,23.0,1020.9
1823,2018-02-26,6.1,3.3,10.6,0.0,289.0,16.9,1017.7
1824,2018-02-27,6.5,2.2,11.7,0.0,270.0,15.1,1024.1
1825,2018-02-28,8.5,3.9,15.6,0.3,211.0,19.4,1015.3
1826,2018-03-01,8.6,4.4,15.6,0.0,105.0,15.8,1010.1
1827,2018-03-02,4.5,1.7,6.1,58.4,27.0,61.2,998.1
1828,2018-03-03,4.2,2.8,6.1,0.0,15.0,41.0,1012.6
1829,2018-03-04,4.0,2.2,5.0,0.0,26.0,24.1,1016.8
1830,2018-03-05,2.7,0.0,6.7,1.3,7.0,28.4,1015.6
1831,2018-03-06,1.6,0.6,2.8,0.0,13.0,14.0,1017.5
1832,2018-03-07,2.4,0.6,3.9,14.0,55.0,36.7,1010.4
1833,2018-03-08,0.9,-0.5,3.3,18.0,305.0,25.2,1000.5
1834,2018-03-09,0.9,-1.6,2.8,0.0,255.0,20.5,1003.4
1835,2018-03-10,2.1,0.6,4.4,0.0,265.0,28.8,1007.7
1836,2018-03-11,2.7,-0.5,6.7,0.0,,19.8,1012.2
1837,2018-03-12,2.7,-1.6,5.6,0.0,36.0,22.3,1016.7
1838,2018-03-13,0.7,-2.1,3.3,29.2,359.0,40.3,1000.3
1839,2018-03-14,0.7,-1.6,5.0,0.8,248.0,29.2,995.5
1840,2018-03-15,2.4,0.0,6.1,0.3,269.0,28.4,994.9
1841,2018-03-16,1.4,-2.1,3.3,0.0,290.0,28.4,1000.8
1842,2018-03-17,-0.5,-7.1,5.6,0.0,285.0,29.5,1005.3
1843,2018-03-18,-4.9,-8.8,0.6,0.0,314.0,22.7,1010.8
1844,2018-03-19,-2.4,-6.0,3.3,0.0,308.0,23.0,1012.4
1845,2018-03-20,-0.4,-4.3,3.9,0.0,,14.0,1013.8
1846,2018-03-21,1.1,0.0,3.9,0.0,26.0,31.7,1013.6
1847,2018-03-22,2.2,0.0,5.6,2.3,12.0,21.6,1013.5
1848,2018-03-23,3.2,1.7,5.6,0.0,350.0,15.5,1013.3
1849,2018-03-24,4.3,1.1,7.8,0.3,351.0,14.4,1016.8
1850,2018-03-25,2.1,0.0,3.9,1.8,22.0,23.0,1028.1
1851,2018-03-26,1.4,-1.6,4.4,0.0,25.0,19.1,1039.4
1852,2018-03-27,1.9,-2.1,5.6,0.0,34.0,13.7,1032.7
1853,2018-03-28,5.2,2.2,12.2,0.3,121.0,9.4,1017.0
1854,2018-03-29,6.1,2.8,10.0,0.3,,8.6,1016.6
1855,2018-03-30,10.9,6.1,17.8,2.0,,19.1,1018.0
1856,2018-03-31,8.2,3.9,13.9,0.0,281.0,23.0,1019.4
1857,2018-04-01,8.8,2.8,15.0,0.0,241.0,28.8,1014.2
1858,2018-04-02,2.8,-0.5,4.4,2.8,,9.4,1019.9
1859,2018-04-03,3.3,0.0,8.9,11.9,174.0,16.2,1020.7
1860,2018-04-04,6.9,3.9,14.4,5.1,,20.9,1016.2
1861,2018-04-05,3.6,-1.0,6.1,0.0,276.0,34.9,1011.7
1862,2018-04-06,1.3,-1.6,6.1,5.3,222.0,17.6,1010.2
1863,2018-04-07,5.0,1.7,8.3,0.3,,19.4,1008.8
1864,2018-04-08,2.6,0.0,5.6,0.0,343.0,21.6,1010.6
1865,2018-04-09,2.6,-1.0,7.8,0.0,288.0,18.7,1019.0
1866,2018-04-10,3.5,1.7,5.0,0.0,,5.8,1021.5
1867,2018-04-11,3.0,-1.0,7.2,0.0,,17.6,1020.5
1868,2018-04-12,6.2,2.2,12.8,1.5,179.0,18.7,1016.4
1869,2018-04-13,12.7,6.7,20.6,0.0,218.0,15.1,1010.7
1870,2018-04-14,8.2,3.3,11.1,0.0,43.0,21.2,1018.5
1871,2018-04-15,2.3,0.6,3.9,1.0,56.0,36.0,1016.7
1872,2018-04-16,4.2,2.2,11.7,39.9,85.0,31.7,1014.9
1873,2018-04-17,8.3,4.4,10.0,0.0,247.0,24.8,999.4
1874,2018-04-18,6.4,2.2,11.7,0.0,270.0,23.4,1004.3
1875,2018-04-19,5.6,2.2,6.7,5.8,276.0,13.3,1006.8
1876,2018-04-20,6.4,2.2,11.7,0.0,305.0,25.9,1016.2
1877,2018-04-21,8.5,3.9,15.0,0.0,311.0,18.4,1024.4
1878,2018-04-22,10.3,5.6,16.7,0.0,317.0,14.4,1027.0
1879,2018-04-23,10.2,6.1,14.4,0.0,75.0,16.9,1031.0
1880,2018-04-24,12.1,5.6,20.6,0.0,208.0,19.8,1027.6
1881,2018-04-25,10.2,8.3,13.3,18.3,101.0,14.8,1015.7
1882,2018-04-26,14.1,10.0,20.0,5.3,231.0,18.7,1003.7
1883,2018-04-27,11.1,7.8,13.9,13.7,91.0,12.2,1010.7
1884,2018-04-28,11.8,7.8,21.1,0.0,,12.6,1010.4
1885,2018-04-29,12.8,6.1,15.6,1.3,283.0,16.6,1010.2
1886,2018-04-30,7.3,4.4,8.9,5.1,,10.8,1012.7
1887,2018-05-01,10.8,6.7,19.4,0.0,292.0,13.0,1015.5
1888,2018-05-02,21.9,14.4,31.7,0.0,234.0,22.0,1013.3
1889,2018-05-03,23.3,16.1,32.2,2.3,211.0,15.5,1012.3
1890,2018-05-04,20.8,13.9,27.8,0.0,206.0,19.4,1009.6
1891,2018-05-05,20.5,14.4,23.9,0.0,258.0,23.4,1013.3
1892,2018-05-06,16.9,10.0,19.4,4.8,134.0,11.9,1015.6
1893,2018-05-07,11.9,8.9,16.1,0.0,87.0,14.4,1017.8
1894,2018-05-08,10.1,7.2,15.6,0.0,,13.0,1019.7
1895,2018-05-09,12.6,7.8,17.2,0.0,115.0,14.4,1021.6
1896,2018-05-10,11.3,9.4,21.7,0.0,,15.8,1017.4
1897,2018-05-11,17.3,11.1,21.1,0.0,,15.5,1013.1
1898,2018-05-12,10.8,9.4,11.7,5.3,57.0,12.2,1021.4
1899,2018-05-13,10.1,8.9,12.2,0.0,62.0,14.0,1021.1
1900,2018-05-14,13.2,9.4,20.6,0.0,177.0,14.0,1014.6
1901,2018-05-15,18.9,14.4,29.4,25.4,224.0,16.9,1010.0
1902,2018-05-16,13.4,10.0,16.7,0.0,57.0,15.1,1020.0
1903,2018-05-17,14.5,10.6,21.7,0.0,,8.3,1016.2
1904,2018-05-18,14.2,8.3,18.3,0.0,69.0,23.0,1027.2
1905,2018-05-19,9.9,7.8,12.8,5.1,,13.0,1026.9
1906,2018-05-20,18.6,12.2,27.2,2.0,249.0,18.7,1012.7
1907,2018-05-21,19.4,13.9,26.7,0.0,,13.7,1019.2
1908,2018-05-22,16.5,12.2,19.4,0.8,,10.8,1019.4
1909,2018-05-23,17.3,12.2,28.9,0.5,248.0,15.5,1018.7
1910,2018-05-24,16.0,11.7,20.0,0.0,88.0,19.1,1018.0
1911,2018-05-25,20.9,12.2,31.1,0.0,241.0,24.1,1011.2
1912,2018-05-26,25.4,16.1,31.7,0.0,257.0,18.7,1013.6
1913,2018-05-27,13.7,10.0,16.1,0.5,56.0,25.9,1016.1
